"","medal_type","medal_code","medal_date","last_name","first_name","athlete_sex","event","country","discipline"
"447","Silver","2",2022-02-15,"FONTANA","Arianna","W","Women's 1500m","Italy","Short Track Speed Skating"
"448","Bronze","3",2022-02-15,"SCHULTING","Suzanne","W","Women's 1500m","Netherlands","Short Track Speed Skating"
"449","Gold","1",2022-02-16,"GISIN","Michelle","W","Women's Alpine Combined","Switzerland","Alpine Skiing"
"450","Silver","2",2022-02-16,"HOLDENER","Wendy","W","Women's Alpine Combined","Switzerland","Alpine Skiing"
"451","Bronze","3",2022-02-16,"BRIGNONE","Federica","W","Women's Alpine Combined","Italy","Alpine Skiing"
"452","Gold","1",2022-02-16,"SHCHERBAKOVA","Anna","W","Women Single Skating","Russian Olympic Committee","Figure Skating"
"453","Silver","2",2022-02-16,"TRUSOVA","Alexandra","W","Women Single Skating","Russian Olympic Committee","Figure Skating"
"454","Bronze","3",2022-02-16,"SAKAMOTO","Kaori","W","Women Single Skating","Japan","Figure Skating"
"455","Gold","1",2022-02-16,"NAESLUND","Sandra","W","Women's Ski Cross","Sweden","Freestyle Skiing"
"456","Silver","2",2022-02-16,"THOMPSON","Marielle","W","Women's Ski Cross","Canada","Freestyle Skiing"
"457","Bronze","3",2022-02-16,"MAIER","Daniela","W","Women's Ski Cross","Germany","Freestyle Skiing"
"458","Gold","1",2022-02-16,"LAROCQUE","Jocelyne","W","Women","Canada","Ice Hockey"
"459","Gold","1",2022-02-16,"JOHNSTON","Rebecca","W","Women","Canada","Ice Hockey"
"460","Gold","1",2022-02-16,"SPOONER","Natalie","W","Women","Canada","Ice Hockey"
"461","Gold","1",2022-02-16,"POULIN","Marie-Philip","W","Women","Canada","Ice Hockey"
"462","Gold","1",2022-02-16,"JENNER","Brianne","W","Women","Canada","Ice Hockey"
"463","Gold","1",2022-02-16,"DAOUST","Melodie","W","Women","Canada","Ice Hockey"
"464","Gold","1",2022-02-16,"SAULNIER","Jill","W","Women","Canada","Ice Hockey"
"465","Gold","1",2022-02-16,"RATTRAY","Jamie Lee","W","Women","Canada","Ice Hockey"
"466","Gold","1",2022-02-16,"TURNBULL","Blayre","W","Women","Canada","Ice Hockey"
"467","Gold","1",2022-02-16,"DESBIENS","Ann-Renee","W","Women","Canada","Ice Hockey"
"468","Gold","1",2022-02-16,"AMBROSE","Erin","W","Women","Canada","Ice Hockey"
"469","Gold","1",2022-02-16,"STACEY","Laura","W","Women","Canada","Ice Hockey"
"470","Gold","1",2022-02-16,"MASCHMEYER","Emerance","W","Women","Canada","Ice Hockey"
"471","Gold","1",2022-02-16,"FAST","Renata","W","Women","Canada","Ice Hockey"
"472","Gold","1",2022-02-16,"NURSE","Sarah","W","Women","Canada","Ice Hockey"
"473","Gold","1",2022-02-16,"CLARK","Emily","W","Women","Canada","Ice Hockey"
"474","Gold","1",2022-02-16,"ZANDEE-HART","Micah","W","Women","Canada","Ice Hockey"
"475","Gold","1",2022-02-16,"CAMPBELL","Kristen","W","Women","Canada","Ice Hockey"
"476","Gold","1",2022-02-16,"SHELTON","Ella","W","Women","Canada","Ice Hockey"
"477","Gold","1",2022-02-16,"THOMPSON","Claire","W","Women","Canada","Ice Hockey"
"478","Gold","1",2022-02-16,"MALTAIS","Emma","W","Women","Canada","Ice Hockey"
"479","Gold","1",2022-02-16,"BELL","Ashton","W","Women","Canada","Ice Hockey"
"480","Gold","1",2022-02-16,"FILLIER","Sarah","W","Women","Canada","Ice Hockey"
"481","Silver","2",2022-02-16,"CARPENTER","Alex","W","Women","United States of America","Ice Hockey"
"482","Silver","2",2022-02-16,"CAVALLINI","Alex","W","Women","United States of America","Ice Hockey"
"483","Silver","2",2022-02-16,"MURPHY","Abbey","W","Women","United States of America","Ice Hockey"
"484","Silver","2",2022-02-16,"ROQUE","Abby","W","Women","United States of America","Ice Hockey"
"485","Silver","2",2022-02-16,"DECKER","Brianna","W","Women","United States of America","Ice Hockey"
"486","Silver","2",2022-02-16,"BARNES","Cayla","W","Women","United States of America","Ice Hockey"
"487","Silver","2",2022-02-16,"HARVEY","Caroline","W","Women","United States of America","Ice Hockey"
"488","Silver","2",2022-02-16,"CAMERANESI","Dani","W","Women","United States of America","Ice Hockey"
"489","Silver","2",2022-02-16,"ZUMWINKLE","Grace","W","Women","United States of America","Ice Hockey"
"490","Silver","2",2022-02-16,"BRANDT","Hannah","W","Women","United States of America","Ice Hockey"
"491","Silver","2",2022-02-16,"KNIGHT","Hilary","W","Women","United States of America","Ice Hockey"
"492","Silver","2",2022-02-16,"COMPHER","Jesse","W","Women","United States of America","Ice Hockey"
"493","Silver","2",2022-02-16,"DUNNE","Jincy","W","Women","United States of America","Ice Hockey"
"494","Silver","2",2022-02-16,"COYNE","SCHOFIELD Kendall","W","Women","United States of America","Ice Hockey"
"495","Silver","2",2022-02-16,"PANNEK","Kelly","W","Women","United States of America","Ice Hockey"
"496","Silver","2",2022-02-16,"STECKLEIN","Lee","W","Women","United States of America","Ice Hockey"
"497","Silver","2",2022-02-16,"BOZEK","Megan","W","Women","United States of America","Ice Hockey"
"498","Silver","2",2022-02-16,"KELLER","Megan","W","Women","United States of America","Ice Hockey"
"499","Silver","2",2022-02-16,"ROONEY","Maddie","W","Women","United States of America","Ice Hockey"
"500","Silver","2",2022-02-16,"HENSLEY","Nicole","W","Women","United States of America","Ice Hockey"
"501","Silver","2",2022-02-16,"HARMON","Savannah","W","Women","United States of America","Ice Hockey"
"502","Silver","2",2022-02-16,"SCAMURRA","Hayley","W","Women","United States of America","Ice Hockey"
"503","Silver","2",2022-02-16,"KESSEL","Amanda","W","Women","United States of America","Ice Hockey"
"504","Gold","1",2022-02-16,"BJOERNSTAD","Espen","M","Team Gundersen Large Hill/4x5km","Norway","Nordic Combined"
"505","Gold","1",2022-02-16,"ANDERSEN","Espen","M","Team Gundersen Large Hill/4x5km","Norway","Nordic Combined"
"506","Gold","1",2022-02-16,"OFTEBRO","Jens Luraas","M","Team Gundersen Large Hill/4x5km","Norway","Nordic Combined"
"507","Gold","1",2022-02-16,"GRAABAK","Joergen","M","Team Gundersen Large Hill/4x5km","Norway","Nordic Combined"
"508","Silver","2",2022-02-16,"SCHMID","Julian","M","Team Gundersen Large Hill/4x5km","Germany","Nordic Combined"
"509","Silver","2",2022-02-16,"FRENZEL","Eric","M","Team Gundersen Large Hill/4x5km","Germany","Nordic Combined"
"510","Silver","2",2022-02-16,"FAISST","Manuel","M","Team Gundersen Large Hill/4x5km","Germany","Nordic Combined"
"511","Silver","2",2022-02-16,"GEIGER","Vinzenz","M","Team Gundersen Large Hill/4x5km","Germany","Nordic Combined"
"512","Bronze","3",2022-02-16,"WATABE","Akito","M","Team Gundersen Large Hill/4x5km","Japan","Nordic Combined"
"513","Bronze","3",2022-02-16,"YAMAMOTO","Ryota","M","Team Gundersen Large Hill/4x5km","Japan","Nordic Combined"
"514","Bronze","3",2022-02-16,"WATABE","Yoshito","M","Team Gundersen Large Hill/4x5km","Japan","Nordic Combined"
"515","Bronze","3",2022-02-16,"NAGAI","Hideaki","M","Team Gundersen Large Hill/4x5km","Japan","Nordic Combined"
"516","Gold","1",2022-02-16,"TAKAGI","Miho","W","Women's 1000m","Japan","Speed Skating"
"517","Silver","2",2022-02-16,"LEERDAM","Jutta","W","Women's 1000m","Netherlands","Speed Skating"
"518","Bronze","3",2022-02-16,"BOWE","Brittany","W","Women's 1000m","United States of America","Speed Skating"
"519","Gold","1",2022-02-17,"BOE","Johannes Thingnes","M","Men's 15km Mass Start","Norway","Biathlon"
"520","Silver","2",2022-02-17,"PONSILUOMA","Martin","M","Men's 15km Mass Start","Sweden","Biathlon"
"521","Bronze","3",2022-02-17,"CHRISTIANSEN","Vetle Sjaastad","M","Men's 15km Mass Start","Norway","Biathlon"
"522","Gold","1",2022-02-17,"BRAISAZ-BOUCHET","Justine","W","Women's 12.5km Mass Start","France","Biathlon"
"523","Silver","2",2022-02-17,"ECKHOFF","Tiril","W","Women's 12.5km Mass Start","Norway","Biathlon"
"524","Bronze","3",2022-02-17,"ROEISELAND","Marte Olsbu","W","Women's 12.5km Mass Start","Norway","Biathlon"
"525","Bronze","3",2022-02-17,"NICHOLS","Mark","M","Men","Canada","Curling"
"526","Bronze","3",2022-02-17,"GUSHUE","Brad","M","Men","Canada","Curling"
"527","Bronze","3",2022-02-17,"KENNEDY","Marc","M","Men","Canada","Curling"
"528","Bronze","3",2022-02-17,"WALKER","Geoff","M","Men","Canada","Curling"
"529","Bronze","3",2022-02-17,"GALLANT","Brett","M","Men","Canada","Curling"
"530","Gold","1",2022-02-17,"REGEZ","Ryan","M","Men's Ski Cross","Switzerland","Freestyle Skiing"
"531","Silver","2",2022-02-17,"FIVA","Alex","M","Men's Ski Cross","Switzerland","Freestyle Skiing"
"532","Bronze","3",2022-02-17,"RIDZIK","Sergey","M","Men's Ski Cross","Russian Olympic Committee","Freestyle Skiing"
"533","Gold","1",2022-02-17,"GU","Ailing Eileen","W","Women's Freeski Halfpipe","People's Republic of China","Freestyle Skiing"
"534","Silver","2",2022-02-17,"SHARPE","Cassie","W","Women's Freeski Halfpipe","Canada","Freestyle Skiing"
"535","Bronze","3",2022-02-17,"KARKER","Rachael","W","Women's Freeski Halfpipe","Canada","Freestyle Skiing"
"536","Gold","1",2022-02-17,"KROL","Thomas","M","Men's 1000m","Netherlands","Speed Skating"
"537","Silver","2",2022-02-17,"DUBREUIL","Laurent","M","Men's 1000m","Canada","Speed Skating"
"538","Bronze","3",2022-02-17,"LORENTZEN","Haavard Holmefjord","M","Men's 1000m","Norway","Speed Skating"
"539","Gold","1",2022-02-18,"NOLTE","Laura","W","2-woman","Germany","Bobsleigh"
"540","Gold","1",2022-02-18,"LEVI","Deborah","W","2-woman","Germany","Bobsleigh"
"541","Silver","2",2022-02-18,"BURGHARDT","Alexandra","W","2-woman","Germany","Bobsleigh"
"542","Silver","2",2022-02-18,"JAMANKA","Mariama","W","2-woman","Germany","Bobsleigh"
"543","Bronze","3",2022-02-18,"MEYERS","TAYLOR Elana","W","2-woman","United States of America","Bobsleigh"
"544","Bronze","3",2022-02-18,"HOFFMAN","Sylvia","W","2-woman","United States of America","Bobsleigh"
"545","Gold","1",2022-02-18,"BOLSHUNOV","Alexander","M","Men's 50km Mass Start Free","Russian Olympic Committee","Cross-Country Skiing"
"546","Silver","2",2022-02-18,"YAKIMUSHKIN","Ivan","M","Men's 50km Mass Start Free","Russian Olympic Committee","Cross-Country Skiing"
"547","Bronze","3",2022-02-18,"KRUEGER","Simen Hegstad","M","Men's 50km Mass Start Free","Norway","Cross-Country Skiing"
"548","Gold","1",2022-02-18,"EDIN","Niklas","M","Men","Sweden","Curling"
"549","Gold","1",2022-02-18,"ERIKSSON","Oskar","M","Men","Sweden","Curling"
"550","Gold","1",2022-02-18,"MAGNUSSON","Daniel","M","Men","Sweden","Curling"
"551","Gold","1",2022-02-18,"SUNDGREN","Christoffer","M","Men","Sweden","Curling"
"552","Gold","1",2022-02-18,"WRANAA","Rasmus","M","Men","Sweden","Curling"
"553","Silver","2",2022-02-18,"HARDIE","Grant","M","Men","Great Britain","Curling"
"554","Silver","2",2022-02-18,"LAMMIE","Bobby","M","Men","Great Britain","Curling"
"555","Silver","2",2022-02-18,"McMILLAN","Hammy","M","Men","Great Britain","Curling"
"556","Silver","2",2022-02-18,"MOUAT","Bruce","M","Men","Great Britain","Curling"
"557","Silver","2",2022-02-18,"WHYTE","Ross","M","Men","Great Britain","Curling"
"558","Bronze","3",2022-02-18,"HASSELBORG","Anna","W","Women","Sweden","Curling"
"559","Bronze","3",2022-02-18,"HELDIN","Johanna","W","Women","Sweden","Curling"
"560","Bronze","3",2022-02-18,"KNOCHENHAUER","Agnes","W","Women","Sweden","Curling"
"561","Bronze","3",2022-02-18,"McMANUS","Sara","W","Women","Sweden","Curling"
"562","Bronze","3",2022-02-18,"MABERGS","Sofia","W","Women","Sweden","Curling"
"563","Gold","1",2022-02-18,"SUI","Wenjing","O","Pair Skating","People's Republic of China","Figure Skating"
"564","Gold","1",2022-02-18,"HAN","Cong","O","Pair Skating","People's Republic of China","Figure Skating"
"565","Silver","2",2022-02-18,"TARASOVA","Evgenia","O","Pair Skating","Russian Olympic Committee","Figure Skating"
"566","Silver","2",2022-02-18,"MOROZOV","Vladimir","O","Pair Skating","Russian Olympic Committee","Figure Skating"
"567","Bronze","3",2022-02-18,"GALLIAMOV","Aleksandr","O","Pair Skating","Russian Olympic Committee","Figure Skating"
"568","Bronze","3",2022-02-18,"MISHINA","Anastasia","O","Pair Skating","Russian Olympic Committee","Figure Skating"
"569","Gold","1",2022-02-18,"PORTEOUS","Nico","M","Men's Freeski Halfpipe","New Zealand","Freestyle Skiing"
"570","Silver","2",2022-02-18,"WISE","David","M","Men's Freeski Halfpipe","United States of America","Freestyle Skiing"
"571","Bronze","3",2022-02-18,"FERREIRA","Alex","M","Men's Freeski Halfpipe","United States of America","Freestyle Skiing"
"572","Bronze","3",2022-02-18,"CEHLARIK","Peter","M","Men","Slovakia","Ice Hockey"
"573","Bronze","3",2022-02-18,"CAJKOVSKY","Michal","M","Men","Slovakia","Ice Hockey"
"574","Bronze","3",2022-02-18,"DANO","Marko","M","Men","Slovakia","Ice Hockey"
"575","Bronze","3",2022-02-18,"DALOGA","Marek","M","Men","Slovakia","Ice Hockey"
"576","Bronze","3",2022-02-18,"GERNAT","Martin","M","Men","Slovakia","Ice Hockey"
"577","Bronze","3",2022-02-18,"CERESNAK","Peter","M","Men","Slovakia","Ice Hockey"
"578","Bronze","3",2022-02-18,"HOLESINSKY","Adrian","M","Men","Slovakia","Ice Hockey"
"579","Bronze","3",2022-02-18,"HRIVIK","Marek","M","Men","Slovakia","Ice Hockey"
"580","Bronze","3",2022-02-18,"HUDACEK","Libor","M","Men","Slovakia","Ice Hockey"
"581","Bronze","3",2022-02-18,"JURCO","Tomas","M","Men","Slovakia","Ice Hockey"
"582","Bronze","3",2022-02-18,"KELEMEN","Milos","M","Men","Slovakia","Ice Hockey"
"583","Bronze","3",2022-02-18,"KNAZKO","Samuel","M","Men","Slovakia","Ice Hockey"
"584","Bronze","3",2022-02-18,"KONRAD","Branislav","M","Men","Slovakia","Ice Hockey"
"585","Bronze","3",2022-02-18,"KRISTOF","Michal","M","Men","Slovakia","Ice Hockey"
"586","Bronze","3",2022-02-18,"MARINCIN","Martin","M","Men","Slovakia","Ice Hockey"
"587","Bronze","3",2022-02-18,"NEMEC","Simon","M","Men","Slovakia","Ice Hockey"
"588","Bronze","3",2022-02-18,"POSPISIL","Kristian","M","Men","Slovakia","Ice Hockey"
"589","Bronze","3",2022-02-18,"REGENDA","Pavol","M","Men","Slovakia","Ice Hockey"
"590","Bronze","3",2022-02-18,"ROMAN","Milos","M","Men","Slovakia","Ice Hockey"
"591","Bronze","3",2022-02-18,"ROSANDIC","Mislav","M","Men","Slovakia","Ice Hockey"
"592","Bronze","3",2022-02-18,"RYBAR","Patrik","M","Men","Slovakia","Ice Hockey"
"593","Bronze","3",2022-02-18,"SLAFKOVSKY","Juraj","M","Men","Slovakia","Ice Hockey"
"594","Bronze","3",2022-02-18,"TOMEK","Matej","M","Men","Slovakia","Ice Hockey"
"595","Bronze","3",2022-02-18,"ZUZIN","Peter","M","Men","Slovakia","Ice Hockey"
"596","Bronze","3",2022-02-18,"TAKAC","Samuel","M","Men","Slovakia","Ice Hockey"
"597","Gold","1",2022-02-18,"SWINGS","Bart","M","Men's Mass Start","Belgium","Speed Skating"
"598","Silver","2",2022-02-18,"CHUNG","Jae Won","M","Men's Mass Start","Republic of Korea","Speed Skating"
"599","Bronze","3",2022-02-18,"LEE","Seung Hoon","M","Men's Mass Start","Republic of Korea","Speed Skating"
"600","Gold","1",2022-02-18,"SCHOUTEN","Irene","W","Women's Mass Start","Netherlands","Speed Skating"
"601","Silver","2",2022-02-18,"BLONDIN","Ivanie","W","Women's Mass Start","Canada","Speed Skating"
"602","Bronze","3",2022-02-18,"LOLLOBRIGIDA","Francesca","W","Women's Mass Start","Italy","Speed Skating"
"603","Gold","1",2022-02-19,"STROLZ","Johannes","O","Mixed Team Parallel","Austria","Alpine Skiing"
"604","Gold","1",2022-02-19,"LIENSBERGER","Katharina","O","Mixed Team Parallel","Austria","Alpine Skiing"
"605","Gold","1",2022-02-19,"TRUPPE","Katharina","O","Mixed Team Parallel","Austria","Alpine Skiing"
"606","Gold","1",2022-02-19,"BRENNSTEINER","Stefan","O","Mixed Team Parallel","Austria","Alpine Skiing"
"607","Gold","1",2022-02-19,"MATT","Michael","O","Mixed Team Parallel","Austria","Alpine Skiing"
"608","Gold","1",2022-02-19,"HUBER","Katharina","O","Mixed Team Parallel","Austria","Alpine Skiing"
"609","Silver","2",2022-02-19,"DUERR","Lena","O","Mixed Team Parallel","Germany","Alpine Skiing"
"610","Silver","2",2022-02-19,"STRASSER","Linus","O","Mixed Team Parallel","Germany","Alpine Skiing"
"611","Silver","2",2022-02-19,"SCHMID","Alexander","O","Mixed Team Parallel","Germany","Alpine Skiing"
"612","Silver","2",2022-02-19,"RAUCHFUSS","Julian","O","Mixed Team Parallel","Germany","Alpine Skiing"
"613","Silver","2",2022-02-19,"AICHER","Emma","O","Mixed Team Parallel","Germany","Alpine Skiing"
"614","Bronze","3",2022-02-19,"TVIBERG","Maria Therese","O","Mixed Team Parallel","Norway","Alpine Skiing"
"615","Bronze","3",2022-02-19,"STJERNESUND","Thea Louise","O","Mixed Team Parallel","Norway","Alpine Skiing"
"616","Bronze","3",2022-02-19,"HAUGAN","Timon","O","Mixed Team Parallel","Norway","Alpine Skiing"
"617","Bronze","3",2022-02-19,"SOLHEIM","Fabian Wilkens","O","Mixed Team Parallel","Norway","Alpine Skiing"
"618","Bronze","3",2022-02-19,"WINDINGSTAD","Rasmus","O","Mixed Team Parallel","Norway","Alpine Skiing"
"619","Bronze","3",2022-02-19,"HOLTMANN","Mina Fuerst","O","Mixed Team Parallel","Norway","Alpine Skiing"
"620","Gold","1",2022-02-19,"BAUER","Candy","O","4-man","Germany","Bobsleigh"
"621","Gold","1",2022-02-19,"FRIEDRICH","Francesco","O","4-man","Germany","Bobsleigh"
"622","Gold","1",2022-02-19,"SCHUELLER","Alexander","O","4-man","Germany","Bobsleigh"
"623","Gold","1",2022-02-19,"MARGIS","Thorsten","O","4-man","Germany","Bobsleigh"
"624","Silver","2",2022-02-19,"RASP","Christian","O","4-man","Germany","Bobsleigh"
"625","Silver","2",2022-02-19,"BAUER","Florian","O","4-man","Germany","Bobsleigh"
"626","Silver","2",2022-02-19,"WEBER","Christopher","O","4-man","Germany","Bobsleigh"
"627","Silver","2",2022-02-19,"LOCHNER","Johannes","O","4-man","Germany","Bobsleigh"
"628","Bronze","3",2022-02-19,"KRIPPS","Justin","O","4-man","Canada","Bobsleigh"
"629","Bronze","3",2022-02-19,"COAKWELL","Benjamin","O","4-man","Canada","Bobsleigh"
"630","Bronze","3",2022-02-19,"STONES","Cam","O","4-man","Canada","Bobsleigh"
"631","Bronze","3",2022-02-19,"SOMMER","Ryan","O","4-man","Canada","Bobsleigh"
"632","Gold","1",2022-02-19,"JOHAUG","Therese","W","Women's 30km Mass Start Free","Norway","Cross-Country Skiing"
"633","Silver","2",2022-02-19,"DIGGINS","Jessie","W","Women's 30km Mass Start Free","United States of America","Cross-Country Skiing"
"634","Bronze","3",2022-02-19,"NISKANEN","Kerttu","W","Women's 30km Mass Start Free","Finland","Cross-Country Skiing"
"635","Gold","1",2022-02-19,"WRIGHT","Vicky","W","Women","Great Britain","Curling"
"636","Gold","1",2022-02-19,"DODDS","Jennifer","W","Women","Great Britain","Curling"
"637","Gold","1",2022-02-19,"DUFF","Hailey","W","Women","Great Britain","Curling"
"638","Gold","1",2022-02-19,"MUIRHEAD","Eve","W","Women","Great Britain","Curling"
"639","Gold","1",2022-02-19,"SMITH","Mili","W","Women","Great Britain","Curling"
"640","Silver","2",2022-02-19,"FUJISAWA","Satsuki","W","Women","Japan","Curling"
"641","Silver","2",2022-02-19,"YOSHIDA","Chinami","W","Women","Japan","Curling"
"642","Silver","2",2022-02-19,"YOSHIDA","Yurika","W","Women","Japan","Curling"
"643","Silver","2",2022-02-19,"SUZUKI","Yumi","W","Women","Japan","Curling"
"644","Silver","2",2022-02-19,"ISHIZAKI","Kotomi","W","Women","Japan","Curling"
"645","Gold","1",2022-02-19,"PAKARINEN","Iiro","M","Men","Finland","Ice Hockey"
"646","Gold","1",2022-02-19,"GRANLUND","Markus","M","Men","Finland","Ice Hockey"
"647","Gold","1",2022-02-19,"KEMILAINEN","Valtteri","M","Men","Finland","Ice Hockey"
"648","Gold","1",2022-02-19,"KOMAROV","Leo","M","Men","Finland","Ice Hockey"
"649","Gold","1",2022-02-19,"MAENALANEN","Saku","M","Men","Finland","Ice Hockey"
"650","Gold","1",2022-02-19,"NATTINEN","Joonas","M","Men","Finland","Ice Hockey"
"651","Gold","1",2022-02-19,"FILPPULA","Valtteri","M","Men","Finland","Ice Hockey"
"652","Gold","1",2022-02-19,"FRIMAN","Niklas","M","Men","Finland","Ice Hockey"
"653","Gold","1",2022-02-19,"ANTTILA","Marko","M","Men","Finland","Ice Hockey"
"654","Gold","1",2022-02-19,"OLKINUORA","Jussi","M","Men","Finland","Ice Hockey"
"655","Gold","1",2022-02-19,"PESONEN","Harri","M","Men","Finland","Ice Hockey"
"656","Gold","1",2022-02-19,"TUOHIMAA","Frans","M","Men","Finland","Ice Hockey"
"657","Gold","1",2022-02-19,"VATANEN","Sami","M","Men","Finland","Ice Hockey"
"658","Gold","1",2022-02-19,"AALTONEN","Miro","M","Men","Finland","Ice Hockey"
"659","Gold","1",2022-02-19,"BJORNINEN","Hannes","M","Men","Finland","Ice Hockey"
"660","Gold","1",2022-02-19,"HARTIKAINEN","Teemu","M","Men","Finland","Ice Hockey"
"661","Gold","1",2022-02-19,"HIETANEN","Juuso","M","Men","Finland","Ice Hockey"
"662","Gold","1",2022-02-19,"SATERI","Harri","M","Men","Finland","Ice Hockey"
"663","Gold","1",2022-02-19,"LEHTONEN","Mikko","M","Men","Finland","Ice Hockey"
"664","Gold","1",2022-02-19,"LINDBOHM","Petteri","M","Men","Finland","Ice Hockey"
"665","Gold","1",2022-02-19,"MANNINEN","Sakari","M","Men","Finland","Ice Hockey"
"666","Gold","1",2022-02-19,"OHTAMAA","Atte","M","Men","Finland","Ice Hockey"
"667","Gold","1",2022-02-19,"OJAMAKI","Niko","M","Men","Finland","Ice Hockey"
"668","Gold","1",2022-02-19,"POKKA","Ville","M","Men","Finland","Ice Hockey"
"669","Gold","1",2022-02-19,"RAJALA","Toni","M","Men","Finland","Ice Hockey"
"670","Silver","2",2022-02-19,"GUSEV","Nikita","M","Men","Russian Olympic Committee","Ice Hockey"
"671","Silver","2",2022-02-19,"SEMYONOV","Kirill","M","Men","Russian Olympic Committee","Ice Hockey"
"672","Silver","2",2022-02-19,"SHIPACHYOV","Vadim","M","Men","Russian Olympic Committee","Ice Hockey"
"673","Silver","2",2022-02-19,"YAKOVLEV","Yegor","M","Men","Russian Olympic Committee","Ice Hockey"
"674","Silver","2",2022-02-19,"GRITSYUK","Arseni","M","Men","Russian Olympic Committee","Ice Hockey"
"675","Silver","2",2022-02-19,"PLOTNIKOV","Sergei","M","Men","Russian Olympic Committee","Ice Hockey"
"676","Silver","2",2022-02-19,"VOINOV","Vyacheslav","M","Men","Russian Olympic Committee","Ice Hockey"
"677","Silver","2",2022-02-19,"GALIEV","Stanislav","M","Men","Russian Olympic Committee","Ice Hockey"
"678","Silver","2",2022-02-19,"YELESIN","Alexander","M","Men","Russian Olympic Committee","Ice Hockey"
"679","Silver","2",2022-02-19,"KAYUMOV","Artur","M","Men","Russian Olympic Committee","Ice Hockey"
"680","Silver","2",2022-02-19,"MINULIN","Artyom","M","Men","Russian Olympic Committee","Ice Hockey"
"681","Silver","2",2022-02-19,"ANDRONOV","Sergei","M","Men","Russian Olympic Committee","Ice Hockey"
"682","Silver","2",2022-02-19,"BILYALOV","Timur","M","Men","Russian Olympic Committee","Ice Hockey"
"683","Silver","2",2022-02-19,"VORONKOV","Dmitri","M","Men","Russian Olympic Committee","Ice Hockey"
"684","Silver","2",2022-02-19,"GRIGORENKO","Mikhail","M","Men","Russian Olympic Committee","Ice Hockey"
"685","Silver","2",2022-02-19,"KARNAUKHOV","Pavel","M","Men","Russian Olympic Committee","Ice Hockey"
"686","Silver","2",2022-02-19,"NESTEROV","Nikita","M","Men","Russian Olympic Committee","Ice Hockey"
"687","Silver","2",2022-02-19,"SAMONOV","Alexander","M","Men","Russian Olympic Committee","Ice Hockey"
"688","Silver","2",2022-02-19,"SLEPYSHEV","Anton","M","Men","Russian Olympic Committee","Ice Hockey"
"689","Silver","2",2022-02-19,"FEDOTOV","Ivan","M","Men","Russian Olympic Committee","Ice Hockey"
"690","Silver","2",2022-02-19,"CHIBISOV","Andrei","M","Men","Russian Olympic Committee","Ice Hockey"
"691","Silver","2",2022-02-19,"SHARIPZYANOV","Damir","M","Men","Russian Olympic Committee","Ice Hockey"
"692","Silver","2",2022-02-19,"NIKISHIN","Alexander","M","Men","Russian Olympic Committee","Ice Hockey"
"693","Silver","2",2022-02-19,"TELEGIN","Sergei","M","Men","Russian Olympic Committee","Ice Hockey"
"694","Silver","2",2022-02-19,"TKACHYOV","Vladimir","M","Men","Russian Olympic Committee","Ice Hockey"
