Bib,Name,Country,Gender,Division,Division.Rank,Overall.Time,Overall.Rank,Swim.Time,Swim.Rank,Bike.Time,Bike.Rank,Run.Time,Run.Rank,Finish.Status,Location,Year
7,Jen Annett,Canada,Female,Finisher,2,573.8,4,62.96666666666667,128,304.98333333333335,16,200.76666666666668,26,Finisher,LakePlacid,2018
17,Caroline St-pierre,Canada,Female,Finisher,7,617.0666666666667,45,61,87,348.3333333333333,144,203.08333333333337,32,Finisher,LakePlacid,2018
12,Robyn Hardage,Canada,Female,Finisher,9,625.7166666666667,60,65.21666666666667,195,345.53333333333336,126,208.73333333333332,47,Finisher,LakePlacid,2018
20,Caroline Martineau,Canada,Female,Finisher,12,662.5333333333333,114,74.11666666666666,700,352.3833333333333,162,228.7,117,Finisher,LakePlacid,2018
1009,Ashley Zutz,Canada,Female,Finisher,5,673.2666666666667,142,65.95,228,373.21666666666664,343,225.66666666666663,107,Finisher,LakePlacid,2018
384,Katy Letourneau,Canada,Female,Finisher,4,688.3833333333333,186,66.06666666666666,236,373.2,342,241.43333333333337,195,Finisher,LakePlacid,2018
466,Kayla Segal,Canada,Female,Finisher,4,694.8666666666667,200,66.86666666666666,273,376.95,398,243.68333333333337,217,Finisher,LakePlacid,2018
166,Debra Tuchner,Canada,Female,Finisher,1,700.2833333333333,222,67.45,295,381.6333333333333,464,243.21666666666667,213,Finisher,LakePlacid,2018
379,Mellen Jay,Canada,Female,Finisher,7,717.8833333333333,308,71.83333333333333,532,379.81666666666666,438,260.03333333333336,382,Finisher,LakePlacid,2018
994,Cindy Presse,Canada,Female,Finisher,10,727.25,352,64.23333333333333,162,395.9,672,255.35,328,Finisher,LakePlacid,2018
203,Susan Evans,Canada,Female,Finisher,1,734.3333333333334,379,76.93333333333334,931,402.48333333333335,774,241.16666666666663,194,Finisher,LakePlacid,2018
1492,Frances Hardwick,Canada,Female,Finisher,1,741.65,412,74.48333333333333,729,383.8333333333333,494,270.8833333333333,500,Finisher,LakePlacid,2018
1191,Silvy Moleman,Canada,Female,Finisher,11,742.8833333333333,420,74.9,769,379.53333333333336,437,277.15,585,Finisher,LakePlacid,2018
389,Tina Kader,Canada,Female,Finisher,3,755.75,487,74.16666666666667,704,421.71666666666664,1063,244.56666666666663,228,Finisher,LakePlacid,2018
1366,Sandra Contant,Canada,Female,Finisher,9,757.8,500,73.71666666666667,674,381.93333333333334,469,290.81666666666666,780,Finisher,LakePlacid,2018
477,Darlene Howe,Canada,Female,Finisher,10,766.5166666666667,565,72.98333333333333,625,368.15,297,314.85,1161,Finisher,LakePlacid,2018
472,Lesley Maisey,Canada,Female,Finisher,14,775.75,630,85.48333333333333,1517,399.1333333333333,732,274.7,555,Finisher,LakePlacid,2018
618,Leah Bell,Canada,Female,Finisher,20,783.5833333333334,689,76.56666666666666,900,416.03333333333336,970,275.95,569,Finisher,LakePlacid,2018
1040,Vicki Findley,Canada,Female,Finisher,21,784.65,695,89.88333333333334,1751,410.6166666666667,886,271.0833333333333,502,Finisher,LakePlacid,2018
638,Jessica Pretty,Canada,Female,Finisher,22,784.7333333333333,696,66.65,262,434.1166666666667,1263,267.3833333333333,465,Finisher,LakePlacid,2018
1070,Erin Miller,Canada,Female,Finisher,33,823.1666666666666,973,74.08333333333333,694,419.9166666666667,1038,316.0833333333333,1184,Finisher,LakePlacid,2018
620,Melissa Fortin,Canada,Female,Finisher,37,828.75,1026,78.96666666666667,1090,434.1666666666667,1265,303.1666666666667,973,Finisher,LakePlacid,2018
195,Nicole Reid,Canada,Female,Finisher,39,828.8,1027,88.3,1665,423.4,1092,298.03333333333336,899,Finisher,LakePlacid,2018
853,Michelle Swanson,Canada,Female,Finisher,8,829.8833333333333,1031,82.68333333333334,1361,430.31666666666666,1199,294.81666666666666,847,Finisher,LakePlacid,2018
196,Vicky Warkentin,Canada,Female,Finisher,46,835.5333333333333,1082,76.2,868,421.3333333333333,1058,321.6,1256,Finisher,LakePlacid,2018
1316,Marie-Claude Paquette,Canada,Female,Finisher,35,846.5666666666667,1146,83.18333333333334,1388,459.06666666666666,1599,291.6,790,Finisher,LakePlacid,2018
1327,Tina Rossi,Canada,Female,Finisher,38,850.7833333333333,1177,78.13333333333334,1025,422.05,1072,335.4,1441,Finisher,LakePlacid,2018
1126,Agnes Bureau,Canada,Female,Finisher,59,853.9333333333333,1207,77.4,974,444.9,1417,312.68333333333334,1119,Finisher,LakePlacid,2018
1168,Andria Henein,Canada,Female,Finisher,63,864.5,1277,79.08333333333333,1108,464.6166666666667,1667,302.8,966,Finisher,LakePlacid,2018
1349,Celina Ambler,Canada,Female,Finisher,34,868.75,1306,83.16666666666667,1387,456.45,1566,308.1,1041,Finisher,LakePlacid,2018
1105,Emy-Lou Wilson,Canada,Female,Finisher,55,870.4666666666667,1315,90.36666666666666,1778,474.3666666666667,1779,283.98333333333335,670,Finisher,LakePlacid,2018
1434,Brenda Young,Canada,Female,Finisher,44,888.0166666666667,1426,91.16666666666669,1817,438.6166666666667,1331,339.2,1480,Finisher,LakePlacid,2018
1358,Amy Brown,Canada,Female,Finisher,45,888.0333333333333,1428,89.56666666666666,1732,438.68333333333334,1333,339.2,1481,Finisher,LakePlacid,2018
956,Krista Banik,Canada,Female,Finisher,48,895.0833333333334,1474,75.21666666666667,789,462.45,1645,342.53333333333336,1525,Finisher,LakePlacid,2018
1453,Diane Harper,Canada,Female,Finisher,20,902.3,1512,76.85,927,434.0833333333333,1259,374.78333333333336,1860,Finisher,LakePlacid,2018
206,Nancy Ripley,Canada,Female,Finisher,3,913.85,1572,98.18333333333334,2047,460.96666666666664,1624,337.18333333333334,1458,Finisher,LakePlacid,2018
1266,Brenda Farnquist,Canada,Female,Finisher,71,935.75,1686,83.01666666666667,1379,492.68333333333334,1961,338.18333333333334,1470,Finisher,LakePlacid,2018
1219,Irina Souiki,Canada,Female,Finisher,101,941.9,1716,89.81666666666666,1749,469.7,1722,365.1,1772,Finisher,LakePlacid,2018
1494,Lynn Keane,Canada,Female,Finisher,5,946,1735,97.53333333333332,2038,490.9,1950,335.1166666666667,1437,Finisher,LakePlacid,2018
904,Haileigh Duplantis,Canada,Female,Finisher,11,976.5666666666668,1890,92.26666666666668,1866,521.4,2151,352.68333333333334,1638,Finisher,LakePlacid,2018
1443,April Clausen,Canada,Female,Finisher,35,993,1976,85.48333333333333,1518,469.56666666666666,1720,410.76666666666665,2049,Finisher,LakePlacid,2018
1256,Kim Charbonneau-speck,Canada,Female,Finisher,98,995.8,1993,98.46666666666668,2054,505.6666666666667,2060,367.06666666666666,1791,Finisher,LakePlacid,2018
1263,Janice Dukelow,Canada,Female,Finisher,103,1013.4333333333332,2061,97.28333333333332,2031,516.2,2129,378.3833333333333,1881,Finisher,LakePlacid,2018
